Titanic Passengers and Crew Complete List,,,,,,,,,,,,,,,
Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"ABBING, Mr Anthony",1870,1912,41,Male,3rd Class Passenger,5547,£7             11s,,Southampton,Blacksmith,LOST,,,American,https://www.encyclopedia-titanica.org/titanic-victim/anthony-abbing.html
"ABBOTT, Mr Ernest Owen",1891,1912,21,Male,Victualling Crew,,,,Southampton,Lounge Pantry Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/ernest-owen-abbott.html
"ABBOTT, Mr Eugene Joseph",1899,1912,13,Male,3rd Class Passenger,CA2673,£20             5s,,Southampton,Scholar,LOST,,,American,https://www.encyclopedia-titanica.org/titanic-victim/eugene-joseph-abbott.html
"ABBOTT, Mr Rossmore Edward",1896,1912,16,Male,3rd Class Passenger,CA2673,£20             5s,,Southampton,Jeweller,LOST,,190,"English, American",https://www.encyclopedia-titanica.org/titanic-victim/rossmore-edward-abbott.html
"ABBOTT, Mrs Rhoda Mary 'Rosa'",1873,1946,39,Female,3rd Class Passenger,CA2673,£20             5s,,Southampton,,SAVED,A,,English,https://www.encyclopedia-titanica.org/titanic-survivor/rhoda-mary-rosa-abbott.html
"ABELSETH, Miss Kalle (Karen) Marie Kristiane",1895,1969,16,Female,3rd Class Passenger,348125,£7             13s,,Southampton,,SAVED,16,,Norwegian,https://www.encyclopedia-titanica.org/titanic-survivor/karen-marie-abelseth.html
"ABELSETH, Mr Olaus Jørgensen",1886,1980,25,Male,3rd Class Passenger,348122,£7             13s,[F] G63,Southampton,Farmer,SAVED,A,,Norwegian,https://www.encyclopedia-titanica.org/titanic-survivor/olaus-jorgensen-abelseth.html
"ABELSON, Mr Samuel",1882,1912,30,Male,2nd Class Passenger,3381,£24.00,,Cherbourg,,LOST,,,Russian,https://www.encyclopedia-titanica.org/titanic-victim/samuel-abelson.html
"ABELSON, Mrs Anna",1883,1972,28,Female,2nd Class Passenger,3381,£24.00,,Cherbourg,,SAVED,,,Russian,https://www.encyclopedia-titanica.org/titanic-survivor/abelson.html
"ABRAHAMSSON, Mr August Abraham Johannes",1892,1961,19,Male,3rd Class Passenger,3101284,£7             18s             6d,,Southampton,,SAVED,15,,Finnish,https://www.encyclopedia-titanica.org/titanic-survivor/august-abrahamsson.html
"ABRAMS, Mr William Thomas",1878,1912,34,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-thomas-abrams.html
"ABī SA'B, Mr Jirjis Yūsuf",1867,1912,45,Male,3rd Class Passenger,2685,£7             4s             6d,,Cherbourg,Shoemaker,LOST,,312,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/gerios-yousseff-abi-saab.html
"ABī SA'B, Mrs Sha'nīnah",1874,1947,38,Female,3rd Class Passenger,2688,£7             4s             7d,,Cherbourg,,SAVED,,,Syrian,https://www.encyclopedia-titanica.org/titanic-survivor/shawneene-george-joseph.html
"ABī SHADīD, Mr Dāhir",1893,1912,19,Male,3rd Class Passenger,2698,£7             4s             6d,,Cherbourg,,LOST,,9,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/daher-shedid.html
"ABī-AL-MUNà, Mr Nāsīf Qāsim",1884,1962,27,Male,3rd Class Passenger,2699,£18             15s             9d,,Cherbourg,,SAVED,,,Syrian,https://www.encyclopedia-titanica.org/titanic-survivor/nassef-cassem-albimona.html
"ADAMS, Mr John",1885,1912,26,Male,3rd Class Passenger,341826,£8             1s,,Southampton,,LOST,,103,English,https://www.encyclopedia-titanica.org/titanic-victim/john-adams.html
"ADAMS, Mr Robert John",1885,1912,26,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/r-adams.html
"AHIER, Mr Percy Snowden",1892,1912,20,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-victim/percy-snowden-ahier.html
"AHLIN, Mrs Johanna Persdotter",1871,1912,40,Female,3rd Class Passenger,7546,£9             9s             6d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/johanna-persdotter-ahlin.html
"AHMED, Mr Ali",1888,1912,24,Male,3rd Class Passenger,3101311,£7             1s,,Southampton,General Labourer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/ahmed-ali.html
"AKERMAN, Mr Albert Edward",1880,1912,31,Male,Victualling Crew,,,,Southampton,3rd Class Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/albert-akerman.html
"AKERMAN, Mr Joseph Francis",1874,1912,37,Male,Victualling Crew,,,,Southampton,Assistant Pantryman Steward,LOST,,205,English,https://www.encyclopedia-titanica.org/titanic-victim/joseph-francis-akerman.html
"AKS, Master Philip",1911,1991,10m,Male,3rd Class Passenger,392091,£9             7s,,Southampton,,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frank-philip-aks.html
"AKS, Mrs Leah",1891,1967,21,Female,3rd Class Passenger,392091,£9             7s,,Southampton,,SAVED,,,Polish,https://www.encyclopedia-titanica.org/titanic-survivor/leah-aks.html
