PersonID,Name,Age,Gender,Nationality,Joined,ClassDept,Type,Survived
1,"ABBING, Mr Anthony",41,Male,American,Southampton,3rd Class Passenger,3rd Class,LOST
2,"ABBOTT, Mr Ernest Owen",21,Male,English,Southampton,Victualling Crew,Victualler,LOST
3,"ABBOTT, Mr Eugene Joseph",13,Male,American,Southampton,3rd Class Passenger,3rd Class,LOST
4,"ABBOTT, Mr Rossmore Edward",16,Male,"English, American",Southampton,3rd Class Passenger,3rd Class,LOST
5,"ABBOTT, Mrs Rhoda Mary 'Rosa'",39,Female,English,Southampton,3rd Class Passenger,3rd Class,SAVED
6,"ABELSETH, Miss Kalle (Karen) Marie Kristiane",16,Female,Norwegian,Southampton,3rd Class Passenger,3rd Class,SAVED
7,"ABELSETH, Mr Olaus Jørgensen",25,Male,Norwegian,Southampton,3rd Class Passenger,3rd Class,SAVED
8,"ABELSON, Mr Samuel",30,Male,Russian,Cherbourg,2nd Class Passenger,2nd Class,LOST
9,"ABELSON, Mrs Anna",28,Female,Russian,Cherbourg,2nd Class Passenger,2nd Class,SAVED
10,"ABRAHAMSSON, Mr August Abraham Johannes",19,Male,Finnish,Southampton,3rd Class Passenger,3rd Class,SAVED
11,"ABRAMS, Mr William Thomas",34,Male,English,Southampton,Engineering Crew,Engineer,LOST
12,"ABī SA'B, Mr Jirjis Yūsuf",45,Male,Syrian,Cherbourg,3rd Class Passenger,3rd Class,LOST
13,"ABī SA'B, Mrs Sha'nīnah",38,Female,Syrian,Cherbourg,3rd Class Passenger,3rd Class,SAVED
14,"ABī SHADīD, Mr Dāhir",19,Male,Syrian,Cherbourg,3rd Class Passenger,3rd Class,LOST
15,"ABī-AL-MUNà, Mr Nāsīf Qāsim",27,Male,Syrian,Cherbourg,3rd Class Passenger,3rd Class,SAVED
16,"ADAMS, Mr John",26,Male,English,Southampton,3rd Class Passenger,3rd Class,LOST
17,"ADAMS, Mr Robert John",26,Male,English,Southampton,Engineering Crew,Engineer,LOST
18,"AHIER, Mr Percy Snowden",20,Male,Channel Islander,Southampton,Victualling Crew,Victualler,LOST
19,"AHLIN, Mrs Johanna Persdotter",40,Female,Swedish,Southampton,3rd Class Passenger,3rd Class,LOST
20,"AHMED, Mr Ali",24,Male,Syrian,Southampton,3rd Class Passenger,3rd Class,LOST
21,"AKERMAN, Mr Albert Edward",31,Male,English,Southampton,Victualling Crew,Victualler,LOST
22,"AKERMAN, Mr Joseph Francis",37,Male,English,Southampton,Victualling Crew,Victualler,LOST
23,"AKS, Master Philip",10m,Male,English,Southampton,3rd Class Passenger,3rd Class,SAVED
24,"AKS, Mrs Leah",21,Female,Polish,Southampton,3rd Class Passenger,3rd Class,SAVED
25,"AL-BA'QLīNī, Miss Hilānah",2,Female,Syrian,Cherbourg,3rd Class Passenger,3rd Class,SAVED
26,"AL-BA'QLīNī, Miss Mārīyā",5,Female,Syrian,Cherbourg,3rd Class Passenger,3rd Class,SAVED
27,"AL-BA'QLīNī, Miss Ūwjīnīyā",3,Female,Syrian,Cherbourg,3rd Class Passenger,3rd Class,SAVED
28,"AL-BA'QLīNī, Mrs Laṭīfah",23,Female,Syrian,Cherbourg,3rd Class Passenger,3rd Class,SAVED
29,"AL-MUNà, Mr Farīd Husayn Qāsim",19,Male,Syrian,Cherbourg,3rd Class Passenger,3rd Class,LOST
30,"AL-ZA'INNī, Mr Fahīm Rūḥānā",25,Male,"Syrian,American",Cherbourg,3rd Class Passenger,3rd Class,SAVED
31,"ALDWORTH, Mr Augustus Henry",35,Male,English,Southampton,2nd Class Passenger Servant,Servant,LOST
32,"ALEXANDER, Mr William Albert",24,Male,English,Southampton,3rd Class Passenger,3rd Class,LOST
33,"ALHOMäKI, Mr Ilmari Rudolf",19,Male,Finnish,Southampton,3rd Class Passenger,3rd Class,LOST
34,"ALI, Mr William",25,Male,Syrian,Southampton,3rd Class Passenger,3rd Class,LOST
35,"ALLARIA, Sig. Battista Antonio",22,Male,Italian,Southampton,Restaurant Staff,Restaurant Staff,LOST
